link_id,name,from_node_id,to_node_id,directed,geometry_id,geometry,parent_link_id,dir_flag,length,grade,facility_type,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,toll,jurisdiction,row_width
1 100002,,1,100002,,1,,,1,277,0,hot,1800,25,1,,,,,,,
1 101990,,1,101990,,2,,,1,239,0,hot,1800,25,1,,,,,,,
1 101997,,1,101997,,3,,,1,293,0,hot,1800,25,1,,,,,,,
1 101998,,1,101998,,4,,,1,230,0,hot,1800,25,1,,,,,,,
2 100004,,2,100004,,5,,,1,264,0,hot,1800,25,1,,,,,,,
2 101992,,2,101992,,6,,,1,226,0,hot,1800,25,1,,,,,,,
2 101996,,2,101996,,7,,,1,277,0,hot,1800,25,1,,,,,,,
2 101997,,2,101997,,8,,,1,206,0,hot,1800,25,1,,,,,,,
3 101995,,3,101995,,9,,,1,170,0,hot,1800,25,1,,,,,,,
3 101996,,3,101996,,10,,,1,112,0,hot,1800,25,1,,,,,,,
4 100020,,4,100020,,11,,,1,204,0,hot,1800,25,1,,,,,,,
4 100021,,4,100021,,12,,,1,96,0,hot,1800,25,1,,,,,,,
5 100004,,5,100004,,13,,,1,196,0,hot,1800,25,1,,,,,,,
5 100007,,5,100007,,14,,,1,287,0,hot,1800,25,1,,,,,,,
5 100008,,5,100008,,15,,,1,188,0,hot,1800,25,1,,,,,,,
5 100017,,5,100017,,16,,,1,260,0,hot,1800,25,1,,,,,,,
6 100002,,6,100002,,17,,,1,242,0,hot,1800,25,1,,,,,,,
6 100008,,6,100008,,18,,,1,313,0,hot,1800,25,1,,,,,,,
6 100009,,6,100009,,19,,,1,226,0,hot,1800,25,1,,,,,,,
6 100014,,6,100014,,20,,,1,230,0,hot,1800,25,1,,,,,,,
7 100014,,7,100014,,21,,,1,231,0,hot,1800,25,1,,,,,,,
7 100022,,7,100022,,22,,,1,332,0,hot,1800,25,1,,,,,,,
7 100023,,7,100023,,23,,,1,201,0,hot,1800,25,1,,,,,,,
7 100030,,7,100030,,24,,,1,292,0,hot,1800,25,1,,,,,,,
8 100017,,8,100017,,25,,,1,230,0,hot,1800,25,1,,,,,,,
8 100021,,8,100021,,26,,,1,284,0,hot,1800,25,1,,,,,,,
8 100022,,8,100022,,27,,,1,187,0,hot,1800,25,1,,,,,,,
8 100032,,8,100032,,28,,,1,297,0,hot,1800,25,1,,,,,,,
9 100035,,9,100035,,29,,,1,633,0,hot,1800,25,1,,,,,,,
9 100100,,9,100100,,30,,,1,328,0,hot,1800,25,1,,,,,,,
10 100032,,10,100032,,31,,,1,229,0,hot,1800,25,1,,,,,,,
10 100035,,10,100035,,32,,,1,309,0,hot,1800,25,1,,,,,,,
10 100036,,10,100036,,33,,,1,176,0,hot,1800,25,1,,,,,,,
10 100046,,10,100046,,34,,,1,256,0,hot,1800,25,1,,,,,,,
11 100030,,11,100030,,35,,,1,229,0,hot,1800,25,1,,,,,,,
11 100036,,11,100036,,36,,,1,254,0,hot,1800,25,1,,,,,,,
11 100037,,11,100037,,37,,,1,250,0,hot,1800,25,1,,,,,,,
11 100044,,11,100044,,38,,,1,263,0,hot,1800,25,1,,,,,,,
12 100044,,12,100044,,39,,,1,244,0,hot,1800,25,1,,,,,,,
12 100050,,12,100050,,40,,,1,324,0,hot,1800,25,1,,,,,,,
12 100051,,12,100051,,41,,,1,188,0,hot,1800,25,1,,,,,,,
12 100055,,12,100055,,42,,,1,269,0,hot,1800,25,1,,,,,,,
13 100046,,13,100046,,43,,,1,253,0,hot,1800,25,1,,,,,,,
13 100049,,13,100049,,44,,,1,293,0,hot,1800,25,1,,,,,,,
13 100050,,13,100050,,45,,,1,187,0,hot,1800,25,1,,,,,,,
13 100057,,13,100057,,46,,,1,259,0,hot,1800,25,1,,,,,,,
14 101975,,14,101975,,47,,,1,1019,0,hot,1800,25,1,,,,,,,
14 101983,,14,101983,,48,,,1,303,0,hot,1800,25,1,,,,,,,
14 101984,,14,101984,,49,,,1,227,0,hot,1800,25,1,,,,,,,
15 100143,,15,100143,,50,,,1,275,0,hot,1800,25,1,,,,,,,
15 101983,,15,101983,,51,,,1,399,0,hot,1800,25,1,,,,,,,
16 101900,,16,101900,,52,,,1,1108,0,hot,1800,25,1,,,,,,,
16 101961,,16,101961,,53,,,1,338,0,hot,1800,25,1,,,,,,,
17 101932,,17,101932,,54,,,1,671,0,hot,1800,25,1,,,,,,,
17 101936,,17,101936,,55,,,1,938,0,hot,1800,25,1,,,,,,,
17 101939,,17,101939,,56,,,1,1043,0,hot,1800,25,1,,,,,,,
18 100232,,18,100232,,57,,,1,693,0,hot,1800,25,1,,,,,,,
18 100235,,18,100235,,58,,,1,837,0,hot,1800,25,1,,,,,,,
18 100305,,18,100305,,59,,,1,695,0,hot,1800,25,1,,,,,,,
19 101940,,19,101940,,60,,,1,487,0,hot,1800,25,1,,,,,,,
19 101941,,19,101941,,61,,,1,528,0,hot,1800,25,1,,,,,,,
20 101940,,20,101940,,62,,,1,923,0,hot,1800,25,1,,,,,,,
20 101946,,20,101946,,63,,,1,969,0,hot,1800,25,1,,,,,,,
21 101946,,21,101946,,64,,,1,1670,0,hot,1800,25,1,,,,,,,
21 101967,,21,101967,,65,,,1,943,0,hot,1800,25,1,,,,,,,
21 101969,,21,101969,,66,,,1,929,0,hot,1800,25,1,,,,,,,
22 100172,,22,100172,,67,,,1,1347,0,hot,1800,25,1,,,,,,,
22 100208,,22,100208,,68,,,1,841,0,hot,1800,25,1,,,,,,,
22 101944,,22,101944,,69,,,1,1385,0,hot,1800,25,1,,,,,,,
22 101970,,22,101970,,70,,,1,531,0,hot,1800,25,1,,,,,,,
23 100207,,23,100207,,71,,,1,761,0,hot,1800,25,1,,,,,,,
23 100265,,23,100265,,72,,,1,550,0,hot,1800,25,1,,,,,,,
