link_geom_id,name,geometry,length,row_width,jurisdiction,facility_type
0,,"LINESTRING (323784.1373405597 4694759.27611529, 323783.722153693 4694755.875376229, 323771.7012039255 4694658.031260997)",102.00577537571766,,,residential
1,Vassal Lane,"LINESTRING (323746.7340325023 4694669.82740802, 323771.7012039255 4694658.031260997)",27.61356068078122,12.2,,residential
2,River Street,"LINESTRING (325887.820532012 4692134.121199565, 325955.1089990987 4692163.547767182)",73.44154603890892,15.5,,secondary
3,Putnam Avenue,"LINESTRING (325959.1022456929 4692099.459285417, 325957.4061323246 4692120.723780287, 325955.1089990987 4692163.547767182)",64.21758412362118,15.2,,tertiary
4,Putnam Avenue,"LINESTRING (325945.9892103345 4692268.008393582, 325955.1089990987 4692163.547767182)",104.85796591103197,15.2,,tertiary
5,Blackstone Street,"LINESTRING (325887.820532012 4692134.121199565, 325884.1384135571 4692145.435079127, 325879.178711194 4692161.702993095, 325876.8287965449 4692171.250393607, 325875.2656596577 4692179.300435758, 325870.5879654735 4692232.072652305, 325868.5745453381 4692254.811759388, 325868.0026968158 4692261.303800649)",129.26226046742218,13.7,,residential
6,,"LINESTRING (325915.3632960391 4692244.592201248, 325914.4728638466 4692257.492193453, 325913.8877260216 4692258.151195761, 325908.565778947 4692264.161382899, 325898.5282268322 4692263.455509015, 325880.8467990312 4692262.206476004, 325868.0026968158 4692261.303800649)",62.50338310420172,,,residential
7,Blackstone Street,"LINESTRING (325855.3743363296 4692403.852161063, 325865.5407081454 4692290.520774146, 325866.0569457752 4692284.774564335, 325868.0026968158 4692261.303800649)",143.10709005943335,13.7,,residential
8,Blackstone Street,"LINESTRING (325868.0026968158 4692261.303800649, 325866.0569457752 4692284.774564335, 325865.5407081454 4692290.520774146, 325855.3743363296 4692403.852161063)",143.10709005943335,13.7,,residential
9,Western Avenue,"LINESTRING (325932.9788851573 4692410.832697589, 325855.3743363296 4692403.852161063)",77.91786630125732,19.8,,secondary
10,Blackstone Street,"LINESTRING (325868.0026968158 4692261.303800649, 325868.5745453381 4692254.811759388, 325870.5879654735 4692232.072652305, 325875.2656596577 4692179.300435758, 325876.8287965449 4692171.250393607, 325879.178711194 4692161.702993095, 325884.1384135571 4692145.435079127, 325887.820532012 4692134.121199565)",129.26226046742218,13.7,,residential
11,River Street,"LINESTRING (325752.926338756 4692081.133402942, 325763.0825342044 4692085.269483788, 325789.3806962428 4692095.992713177, 325803.5496153098 4692101.773428209, 325813.98906161 4692106.035864132, 325832.545145735 4692113.607464812, 325844.0239024737 4692118.244083409, 325856.0878415123 4692122.555047321, 325867.7594616499 4692126.664679587, 325878.7768961407 4692130.646160004, 325887.820532012 4692134.121199565)",144.95469850341448,15.5,,secondary
12,,"LINESTRING (325868.0026968158 4692261.303800649, 325880.8467990312 4692262.206476004, 325898.5282268322 4692263.455509015, 325908.565778947 4692264.161382899, 325913.8877260216 4692258.151195761, 325914.4728638466 4692257.492193453, 325915.3632960391 4692244.592201248)",62.50338310420172,,,residential
13,Larchwood Drive,"LINESTRING (323407.2110619179 4694076.453000914, 323404.0743052206 4694072.943203016, 323401.317739644 4694070.134938786, 323398.8273286154 4694067.753301366, 323396.2988348627 4694065.494851907, 323393.7580789219 4694063.403384233, 323391.0680059289 4694061.271241714, 323388.248446157 4694059.231260921, 323385.3051092204 4694057.183295022, 323381.7131468935 4694054.896145033)",33.52609928918142,10.4,,residential
14,Larchwood Drive,"LINESTRING (323322.4910042135 4694047.50259029, 323326.0432997347 4694045.935046992, 323329.3206226294 4694044.896687754, 323332.7753272977 4694044.031632912, 323337.0379911961 4694043.190619723, 323341.0859362204 4694042.655040541, 323345.0568797761 4694042.332525516, 323348.7614618547 4694042.227856639, 323352.4364769384 4694042.25727353, 323356.2848454543 4694042.626768849, 323359.8477606608 4694043.436820352, 323363.4241345791 4694044.779882216, 323367.075904937 4694046.498830431, 323370.6350459452 4694048.464570818, 323381.7131468935 4694054.896145033)",62.9272127184213,10.4,,residential
16,Fresh Pond Lane,"LINESTRING (323407.2110619179 4694076.453000914, 323410.0483444978 4694079.848134867, 323412.4568751312 4694082.576297089, 323414.9531633427 4694085.191130372, 323417.6184175533 4694087.646139027, 323420.4293404459 4694089.997468484, 323423.3671197626 4694092.478933672, 323426.8235736662 4694094.947306796, 323430.0455779241 4694097.266039828, 323433.6655649989 4694099.685842318, 323437.4359850854 4694102.190740677, 323442.139984807 4694105.127644238, 323445.3661125753 4694106.957377239, 323448.1966014774 4694108.452643759, 323450.4549167427 4694109.473450675, 323452.57365657 4694110.186661407, 323454.9706343856 4694110.826181615, 323460.3727052156 4694112.045430577)",65.09890543393644,11.6,,residential
17,Fresh Pond Parkway,"LINESTRING (323450.2654384946 4694193.680579419, 323450.9775820027 4694182.728965627, 323451.4715440591 4694174.882945748, 323451.8873152924 4694169.161181043, 323452.4622444633 4694162.890939629, 323453.0059252196 4694156.68815563, 323453.7948422052 4694149.756939676, 323454.5977749546 4694143.380941235, 323455.3797246007 4694137.805494889, 323456.3233563516 4694131.781511166, 323457.2690219288 4694126.490830086, 323458.2754026828 4694121.320842473, 323459.2955181216 4694116.694968025, 323460.3727052156 4694112.045430577)",82.3773037912487,15.2,,primary
