road_link_id,name,from_node_id,to_node_id,link_geom_id,dir_flag,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,facility_type,grade,from_node,to_node,length,LinkType,Desc
1 100002,"",,,1,1,1800,25,1,,,,,HOT,,1,100002,277,6,HOT
1 101990,"",,,2,1,1800,25,1,,,,,HOT,,1,101990,239,6,HOT
1 101997,"",,,3,1,1800,25,1,,,,,HOT,,1,101997,293,6,HOT
1 101998,"",,,4,1,1800,25,1,,,,,HOT,,1,101998,230,6,HOT
2 100004,"",,,5,1,1800,25,1,,,,,HOT,,2,100004,264,6,HOT
2 101992,"",,,6,1,1800,25,1,,,,,HOT,,2,101992,226,6,HOT
2 101996,"",,,7,1,1800,25,1,,,,,HOT,,2,101996,277,6,HOT
2 101997,"",,,8,1,1800,25,1,,,,,HOT,,2,101997,206,6,HOT
3 101995,"",,,9,1,1800,25,1,,,,,HOT,,3,101995,170,6,HOT
3 101996,"",,,10,1,1800,25,1,,,,,HOT,,3,101996,112,6,HOT
4 100020,"",,,11,1,1800,25,1,,,,,HOT,,4,100020,204,6,HOT
4 100021,"",,,12,1,1800,25,1,,,,,HOT,,4,100021,96,6,HOT
5 100004,"",,,13,1,1800,25,1,,,,,HOT,,5,100004,196,6,HOT
5 100007,"",,,14,1,1800,25,1,,,,,HOT,,5,100007,287,6,HOT
5 100008,"",,,15,1,1800,25,1,,,,,HOT,,5,100008,188,6,HOT
5 100017,"",,,16,1,1800,25,1,,,,,HOT,,5,100017,260,6,HOT
6 100002,"",,,17,1,1800,25,1,,,,,HOT,,6,100002,242,6,HOT
6 100008,"",,,18,1,1800,25,1,,,,,HOT,,6,100008,313,6,HOT
6 100009,"",,,19,1,1800,25,1,,,,,HOT,,6,100009,226,6,HOT
6 100014,"",,,20,1,1800,25,1,,,,,HOT,,6,100014,230,6,HOT
7 100014,"",,,21,1,1800,25,1,,,,,HOT,,7,100014,231,6,HOT
7 100022,"",,,22,1,1800,25,1,,,,,HOT,,7,100022,332,6,HOT
7 100023,"",,,23,1,1800,25,1,,,,,HOT,,7,100023,201,6,HOT
7 100030,"",,,24,1,1800,25,1,,,,,HOT,,7,100030,292,6,HOT
8 100017,"",,,25,1,1800,25,1,,,,,HOT,,8,100017,230,6,HOT
8 100021,"",,,26,1,1800,25,1,,,,,HOT,,8,100021,284,6,HOT
8 100022,"",,,27,1,1800,25,1,,,,,HOT,,8,100022,187,6,HOT
8 100032,"",,,28,1,1800,25,1,,,,,HOT,,8,100032,297,6,HOT
9 100035,"",,,29,1,1800,25,1,,,,,HOT,,9,100035,633,6,HOT
9 100100,"",,,30,1,1800,25,1,,,,,HOT,,9,100100,328,6,HOT
10 100032,"",,,31,1,1800,25,1,,,,,HOT,,10,100032,229,6,HOT
10 100035,"",,,32,1,1800,25,1,,,,,HOT,,10,100035,309,6,HOT
10 100036,"",,,33,1,1800,25,1,,,,,HOT,,10,100036,176,6,HOT
10 100046,"",,,34,1,1800,25,1,,,,,HOT,,10,100046,256,6,HOT
11 100030,"",,,35,1,1800,25,1,,,,,HOT,,11,100030,229,6,HOT
11 100036,"",,,36,1,1800,25,1,,,,,HOT,,11,100036,254,6,HOT
11 100037,"",,,37,1,1800,25,1,,,,,HOT,,11,100037,250,6,HOT
11 100044,"",,,38,1,1800,25,1,,,,,HOT,,11,100044,263,6,HOT
12 100044,"",,,39,1,1800,25,1,,,,,HOT,,12,100044,244,6,HOT
12 100050,"",,,40,1,1800,25,1,,,,,HOT,,12,100050,324,6,HOT
12 100051,"",,,41,1,1800,25,1,,,,,HOT,,12,100051,188,6,HOT
12 100055,"",,,42,1,1800,25,1,,,,,HOT,,12,100055,269,6,HOT
13 100046,"",,,43,1,1800,25,1,,,,,HOT,,13,100046,253,6,HOT
13 100049,"",,,44,1,1800,25,1,,,,,HOT,,13,100049,293,6,HOT
13 100050,"",,,45,1,1800,25,1,,,,,HOT,,13,100050,187,6,HOT
13 100057,"",,,46,1,1800,25,1,,,,,HOT,,13,100057,259,6,HOT
14 101975,"",,,47,1,1800,25,1,,,,,HOT,,14,101975,1019,6,HOT
14 101983,"",,,48,1,1800,25,1,,,,,HOT,,14,101983,303,6,HOT
14 101984,"",,,49,1,1800,25,1,,,,,HOT,,14,101984,227,6,HOT
15 100143,"",,,50,1,1800,25,1,,,,,HOT,,15,100143,275,6,HOT
15 101983,"",,,51,1,1800,25,1,,,,,HOT,,15,101983,399,6,HOT
16 101900,"",,,52,1,1800,25,1,,,,,HOT,,16,101900,1108,6,HOT
16 101961,"",,,53,1,1800,25,1,,,,,HOT,,16,101961,338,6,HOT
17 101932,"",,,54,1,1800,25,1,,,,,HOT,,17,101932,671,6,HOT
17 101936,"",,,55,1,1800,25,1,,,,,HOT,,17,101936,938,6,HOT
17 101939,"",,,56,1,1800,25,1,,,,,HOT,,17,101939,1043,6,HOT
18 100232,"",,,57,1,1800,25,1,,,,,HOT,,18,100232,693,6,HOT
18 100235,"",,,58,1,1800,25,1,,,,,HOT,,18,100235,837,6,HOT
18 100305,"",,,59,1,1800,25,1,,,,,HOT,,18,100305,695,6,HOT
19 101940,"",,,60,1,1800,25,1,,,,,HOT,,19,101940,487,6,HOT
19 101941,"",,,61,1,1800,25,1,,,,,HOT,,19,101941,528,6,HOT
20 101940,"",,,62,1,1800,25,1,,,,,HOT,,20,101940,923,6,HOT
20 101946,"",,,63,1,1800,25,1,,,,,HOT,,20,101946,969,6,HOT
21 101946,"",,,64,1,1800,25,1,,,,,HOT,,21,101946,1670,6,HOT
21 101967,"",,,65,1,1800,25,1,,,,,HOT,,21,101967,943,6,HOT
21 101969,"",,,66,1,1800,25,1,,,,,HOT,,21,101969,929,6,HOT
22 100172,"",,,67,1,1800,25,1,,,,,HOT,,22,100172,1347,6,HOT
22 100208,"",,,68,1,1800,25,1,,,,,HOT,,22,100208,841,6,HOT
22 101944,"",,,69,1,1800,25,1,,,,,HOT,,22,101944,1385,6,HOT
22 101970,"",,,70,1,1800,25,1,,,,,HOT,,22,101970,531,6,HOT
23 100207,"",,,71,1,1800,25,1,,,,,HOT,,23,100207,761,6,HOT
23 100265,"",,,72,1,1800,25,1,,,,,HOT,,23,100265,550,6,HOT
23 101892,"",,,73,1,1800,25,1,,,,,HOT,,23,101892,1740,6,HOT
24 101783,"",,,74,1,1800,25,1,,,,,HOT,,24,101783,4177,6,HOT
24 101786,"",,,75,1,1800,25,1,,,,,HOT,,24,101786,2624,6,HOT
24 101909,"",,,76,1,1800,25,1,,,,,HOT,,24,101909,3650,6,HOT
25 101906,"",,,77,1,1800,25,1,,,,,HOT,,25,101906,2445,6,HOT
25 101922,"",,,78,1,1800,25,1,,,,,HOT,,25,101922,2055,6,HOT
26 101919,"",,,79,1,1800,25,1,,,,,HOT,,26,101919,2651,6,HOT
26 101922,"",,,80,1,1800,25,1,,,,,HOT,,26,101922,2331,6,HOT
27 100131,"",,,81,1,1800,25,1,,,,,HOT,,27,100131,3076,6,HOT
27 101917,"",,,82,1,1800,25,1,,,,,HOT,,27,101917,3005,6,HOT
27 101926,"",,,83,1,1800,25,1,,,,,HOT,,27,101926,3147,6,HOT
28 101924,"",,,84,1,1800,25,1,,,,,HOT,,28,101924,2660,6,HOT
28 101929,"",,,85,1,1800,25,1,,,,,HOT,,28,101929,3836,6,HOT
29 100268,"",,,86,1,1800,25,1,,,,,HOT,,29,100268,4261,6,HOT
29 101906,"",,,87,1,1800,25,1,,,,,HOT,,29,101906,2547,6,HOT
29 101928,"",,,88,1,1800,25,1,,,,,HOT,,29,101928,1933,6,HOT
30 100751,"",,,89,1,1800,25,1,,,,,HOT,,30,100751,4992,6,HOT
30 101775,"",,,90,1,1800,25,1,,,,,HOT,,30,101775,3511,6,HOT
30 101781,"",,,91,1,1800,25,1,,,,,HOT,,30,101781,2325,6,HOT
31 101781,"",,,92,1,1800,25,1,,,,,HOT,,31,101781,4080,6,HOT
31 101907,"",,,93,1,1800,25,1,,,,,HOT,,31,101907,3737,6,HOT
32 101908,"",,,94,1,1800,25,1,,,,,HOT,,32,101908,1864,6,HOT
32 101912,"",,,95,1,1800,25,1,,,,,HOT,,32,101912,2484,6,HOT
33 100133,"",,,96,1,1800,25,1,,,,,HOT,,33,100133,5181,6,HOT
33 101915,"",,,97,1,1800,25,1,,,,,HOT,,33,101915,2622,6,HOT
33 101916,"",,,98,1,1800,25,1,,,,,HOT,,33,101916,2991,6,HOT
33 101918,"",,,99,1,1800,25,1,,,,,HOT,,33,101918,2648,6,HOT
34 100144,"",,,100,1,1800,25,1,,,,,HOT,,34,100144,863,6,HOT
34 100212,"",,,101,1,1800,25,1,,,,,HOT,,34,100212,427,6,HOT
35 100096,"",,,102,1,1800,25,1,,,,,HOT,,35,100096,484,6,HOT
35 101952,"",,,103,1,1800,25,1,,,,,HOT,,35,101952,507,6,HOT
36 101935,"",,,104,1,1800,25,1,,,,,HOT,,36,101935,1778,6,HOT
36 101948,"",,,105,1,1800,25,1,,,,,HOT,,36,101948,1407,6,HOT
37 100213,"",,,106,1,1800,25,1,,,,,HOT,,37,100213,939,6,HOT
37 101947,"",,,107,1,1800,25,1,,,,,HOT,,37,101947,1252,6,HOT
38 101949,"",,,108,1,1800,25,1,,,,,HOT,,38,101949,1612,6,HOT
38 101951,"",,,109,1,1800,25,1,,,,,HOT,,38,101951,682,6,HOT
38 101964,"",,,110,1,1800,25,1,,,,,HOT,,38,101964,1053,6,HOT
39 100214,"",,,111,1,1800,25,1,,,,,HOT,,39,100214,3196,6,HOT
39 100220,"",,,112,1,1800,25,1,,,,,HOT,,39,100220,3538,6,HOT
40 101962,"",,,113,1,1800,25,1,,,,,HOT,,40,101962,1064,6,HOT
41 100175,"",,,114,1,1800,25,1,,,,,HOT,,41,100175,461,6,HOT
41 100744,"",,,115,1,1800,25,1,,,,,HOT,,41,100744,626,6,HOT
