Node,X,Y
1,1523373,1003235
2,1523873,1003225
3,1524263,1003205
4,1524224,1002265
5,1523854,1002765
6,1523354,1002745
7,1523324,1002284
8,1523844,1002275
9,1524695,1001515
10,1523804,1001755
11,1523374,1001765
12,1523304,1001264
13,1523815,1001245
14,1523402,1004955
15,1523952.454,1004620.162
16,1522041,1011125
17,1523748,1012078
18,1511204,1011999
19,1523309,1009956
20,1524720,1009927
21,1524681,1007287
22,1523211,1007546
23,1522100,1007725
24,1514001,1019473
25,1520931,1021918
26,1525292,1022231
27,1530894,1021975
28,1524925,1016980
29,1520967,1017101
30,1507425,1024921
31,1513827,1024725
32,1519421.348,1027000.82
33,1528420,1027515
34,1525423,1005196
35,1525674,1003396
36,1526310,1010389
37,1525471,1007787
38,1527361,1007748
39,1530722.073,1010795.08
40,1529813,1006220
41,1508488,1001637
42,1528345,1003328
43,1529627,1016182
44,1537870,1013607
45,1541263,1011698
46,1538323.502,1007384.282
47,1537052,1025750
48,1547583,1027882
49,1550594,1022186
50,1550372,1016409
51,1550657,1011827
52,1543746,1005428
53,1525964,1002456
54,1524945,1001756
55,1526576,1000136
56,1527987,999027
57,1529216,1002028
58,1530866,999978
59,1528828,1000599
60,1529628,997957
61,1530919,997728
62,1530110,994476
63,1534967,998908
64,1545740,1001048
65,1544813,995175
66,1534063.084,998195.062
67,1532629,996816
68,1536999,997172
69,1533814,990698
70,1544886,989303
71,1551650,1002132
72,1550957.567,993231.938
73,1549142,981383
74,1523795,1000815
75,1524505,1000835
76,1523896,999420
77,1524016,997682
78,1526554,997415
79,1527270,994835
80,1524669,994923
81,1524121,992095
82,1524230.643,989624.25
83,1526921,990858
84,1529873,988602
85,1524997,982880
86,1530660,979992
87,1535529,982777
88,1540821,979579
89,1525265,969027
90,1533338,972945
91,1548642.553,971686.688
92,1523285,1000764
93,1523306,999424
94,1522083,999061
95,1520116,997501
96,1522097,997292
97,1523342,997697
98,1522173,994087
99,1521724,992769
100,1518308,993869
101,1511720,988604
102,1509143,983200
103,1517101,987986
104,1519133,986857
105,1506435,978807
106,1512856,978801
107,1518350,974704
108,1520493,1001822
109,1522624,1001774
110,1521875,1000633
111,1520444,1000482
112,1513412,1001708
113,1516817,1001525
114,1517404,999920
115,1514293,999968
116,1514264,997838
117,1508281,1000714
118,1509462,1000025
119,1512160.82,994008.525
120,1508885,994663
121,1506743.03,990864.869
122,1502729.852,993094.412
123,1506541.825,984781.791
124,1493295,990622
125,1498545,992005
126,1502039.24,987256.053
127,1494239,985210
128,1493163,978948
129,1496386,974539
130,1520461,1005413
131,1522022,1004954
132,1522266.361,1003284.835
133,1520402,1003953
134,1519317.966,1002619.051
135,1522614,1002264
136,1513047,1008300
137,1518079,1007573
138,1520223,1007508
139,1516876,1004903
140,1514370,1005280
141,1511498,1006068
142,1511051,1001837
143,1513487,1003354
144,1516742,1002763
145,1507835,1014080
146,1514975.206,1014624.498
147,1512669,1011350
148,1510425,1008369
149,1504634,1011825
150,1508498,1004706
151,1504447,1005152
152,1498810.326,998699.673
153,1493132,1024031
154,1500864,1022956
155,1508880,1018310
156,1500176,1019155
157,1496266,1020572
158,1496551,1020036
159,1497174.423,1019677.708
160,1499832,1012662
161,1494010,1013678
162,1492708.998,1002454.097
163,1521922,1012442
164,1518555,1009867
165,1519010,1014699
166,1529243,1011435
167,1528933,1008375
168,1532737,1009819
169,1530044,1000237
170,1529329,998892
171,1528411,999650
172,1538304,1000591
173,1533576,1001964
174,1536019,997951
175,1520519,1001353
176,1519003,1001374
177,1519014,1001865
178,1521680,1001824
179,1521696,1001328
180,1522597,1001270
181,1521839,1003756
182,1522673,1003270
183,1519004,1004492
184,1520839,1002677
185,1521740,1002307
