From_Node,To_Node,LT_Node,Thru_Node,RT_Node,O1_Node,O2_Node,U_Turn
1,100002,100003,6,100001,0,0,0
1,101990,101989,0,0,0,0,0
1,101997,101991,2,100003,0,0,0
1,101998,0,0,101989,0,0,0
2,100004,100005,5,100003,0,0,0
2,101992,101991,0,0,0,0,0
2,101996,0,3,100005,0,0,0
2,101997,100003,1,101991,0,0,0
3,101995,101994,0,0,0,0,0
3,101996,100005,2,0,0,0,0
4,100020,100019,0,0,0,4,1
4,100021,100033,8,0,0,0,0
5,100004,100003,2,100005,0,0,0
5,100007,0,0,100018,0,0,0
5,100008,100016,6,100003,0,0,0
5,100017,100018,8,0,0,0,0
6,100002,100001,1,100003,0,0,0
6,100008,100003,5,100016,0,0,0
6,100009,0,0,100001,0,0,0
6,100014,100016,7,0,0,0,0
7,100014,0,6,100016,0,0,0
7,100022,100016,8,102016,0,0,0
7,100023,0,0,100013,0,0,0
7,100030,102019,11,100029,0,0,0
8,100017,0,5,100018,0,0,0
8,100021,0,4,100033,0,0,0
8,100022,102016,7,100016,0,0,0
8,100032,100033,10,102017,0,0,0
9,100035,100047,10,0,0,0,0
9,100100,0,0,100048,0,9,1
10,100032,102017,8,100033,0,0,0
10,100035,0,9,100047,0,0,0
10,100036,100045,11,102018,0,0,0
10,100046,0,13,100045,0,0,0
11,100030,100029,7,102019,0,0,0
11,100036,102018,10,100045,0,0,0
11,100037,0,0,100029,0,0,0
11,100044,0,12,100043,0,0,0
12,100044,100043,11,0,0,0,0
12,100050,100045,13,100056,0,0,0
12,100051,0,0,100043,0,0,0
12,100055,100056,92,0,0,0,0
13,100046,100045,10,0,0,0,0
13,100049,0,0,100058,0,0,0
13,100050,100056,12,100045,0,0,0
13,100057,100058,74,0,0,13,1
14,101975,101974,0,101976,0,0,0
14,101983,101976,15,101982,0,0,0
14,101984,102011,0,101974,0,0,0
15,100143,101981,0,101982,0,0,0
15,101983,101982,14,101976,0,0,0
16,101900,101899,385,101901,0,0,0
16,101961,0,101938,0,0,16,1
17,101932,101931,0,101933,0,0,0
17,101936,101937,163,101931,0,0,0
17,101939,0,101940,101938,0,0,0
18,100232,0,100176,0,0,0,0
18,100235,0,100234,0,0,0,0
18,100305,0,100177,0,0,0,0
19,101940,101939,20,101945,0,19,1
19,101941,101942,0,101938,0,19,1
20,101940,101945,19,101939,0,20,1
20,101946,101947,21,101945,0,0,0
21,101946,101945,20,101947,0,0,0
21,101967,101966,0,101968,0,0,0
21,101969,101976,0,101970,0,0,0
22,100172,0,101974,0,0,0,0
22,100208,0,101972,0,0,0,0
22,101944,101942,0,101945,0,0,0
22,101970,101945,0,101969,0,0,0
23,100207,0,101972,0,0,0,0
23,100265,0,101895,0,0,0,0
23,101892,101973,131,101893,0,0,0
24,101783,101784,0,101782,0,0,0
24,101786,101787,0,101785,0,0,0
24,101909,101907,0,101905,0,0,0
25,101906,101923,29,101905,0,0,0
25,101922,101921,26,101923,0,0,0
26,101919,101920,0,101918,0,0,0
26,101922,101923,25,101921,0,0,0
27,100131,100132,0,100130,0,0,0
27,101917,101918,0,100132,0,0,0
27,101926,100130,0,101925,0,0,0
28,101924,101923,0,101925,0,0,0
28,101929,0,101930,101928,0,0,0
29,100268,101930,163,101901,0,0,0
29,101906,101905,25,101923,0,0,0
29,101928,101923,0,101929,0,0,0
30,100751,0,101779,0,0,0,0
30,101775,100228,0,101776,0,0,0
30,101781,101780,31,101782,0,0,0
31,101781,101782,30,101780,0,0,0
31,101907,101908,0,101909,0,0,0
32,101908,101907,0,102553,0,0,0
32,101912,102553,0,101921,0,0,0
33,100133,100134,0,100132,0,0,0
33,101915,101914,303,100134,0,0,0
33,101916,101920,0,101914,0,0,0
33,101918,101917,0,101919,0,0,0
34,100144,0,101980,0,0,0,0
34,100212,0,100211,0,0,0,0
35,100096,100095,0,100097,0,0,0
35,101952,0,100098,0,0,0,0
36,101935,101933,166,101950,0,36,1
36,101948,101949,0,101947,0,36,1
37,100213,0,101966,0,0,0,0
37,101947,101946,0,101948,0,0,0
38,101949,101948,0,101950,0,0,0
38,101951,101950,0,101963,0,0,0
38,101964,101963,0,101965,0,0,0
39,100214,0,100219,0,0,0,0
39,100220,101934,0,100129,0,0,0
40,101962,101963,167,100219,0,40,1
41,100175,100741,0,100740,0,41,1
41,100744,100745,150,100743,0,41,1
42,100102,100103,0,100101,0,42,1
43,101927,101933,0,101925,0,0,0
43,101934,100220,0,101933,0,0,0
44,100183,100129,0,100184,0,0,0
44,100185,100184,0,100181,0,0,0
45,100125,100152,46,100124,0,45,1
45,100166,100124,0,100181,0,0,0
45,100182,100181,0,100140,0,0,0
46,100125,100124,45,100152,0,46,1
47,100126,0,100132,0,0,0,0
47,100568,100136,0,100137,0,0,0
48,100198,100141,0,100145,0,48,1
49,100196,100146,0,100145,0,49,1
50,100194,100149,0,100146,0,50,1
51,100155,100151,0,100149,0,51,1
52,100128,100119,0,100105,0,0,0
52,100152,100125,0,100150,0,0,0
53,100094,0,100093,0,0,0,0
53,100095,100096,0,100101,0,0,0
54,100089,100091,0,100088,0,0,0
54,101957,0,100092,0,0,0,0
55,100087,100088,0,100107,0,0,0
55,100099,0,100086,0,0,0,0
55,100258,0,100083,0,0,0,0
56,100084,100085,0,100083,0,56,1
57,100103,100102,0,100104,0,57,1
57,100106,169,59,100107,0,0,0
58,100104,100103,390,173,100120,58,1
58,100110,100111,61,100109,0,58,1
59,100106,100107,57,169,0,0,0
59,100218,0,100108,0,0,59,1
59,100223,169,0,100222,0,0,0
60,100085,100084,170,100109,0,60,1
61,100110,100109,58,100111,0,61,1
62,100599,100600,0,100598,0,62,1
63,100238,0,100114,0,0,0,0
63,100242,0,100240,0,0,0,0
63,100243,0,100113,0,0,0,0
64,100161,100118,392,100119,0,64,1
65,100117,100118,0,100162,0,0,0
65,100655,100656,0,100653,0,0,0
66,100239,0,100114,0,0,0,0
66,102554,0,100650,0,0,0,0
67,100199,0,100127,0,0,0,0
67,100645,0,100650,100647,0,0,0
68,100154,100115,0,100116,0,0,0
68,100652,100653,0,100651,0,0,0
68,100654,100116,0,100653,0,0,0
69,100646,100642,0,100647,0,0,0
69,100648,100647,0,100649,0,0,0
70,100663,100662,0,100664,0,70,1
71,100157,100158,356,100164,0,0,0
71,100160,100162,0,100156,0,71,1
72,100657,100656,0,100162,0,0,0
72,100699,0,100658,0,0,0,0
73,100662,100663,0,100659,0,0,0
73,100665,100666,0,100664,0,0,0
73,103415,104119,367,0,0,0,0
73,103978,104114,100669,0,0,0,0
74,100057,0,13,100058,0,74,1
74,100062,100069,92,100056,0,0,0
75,100060,104439,0,100088,0,0,0
75,100061,100071,0,100059,0,0,0
76,100070,100069,0,100071,0,0,0
76,100072,100071,0,100081,0,0,0
76,100073,100079,93,100069,0,76,1
76,100080,100081,0,100079,0,0,0
77,100206,0,100576,0,0,0,0
77,100575,100579,97,100079,0,0,0
77,100580,100581,0,100579,0,0,0
