link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,queue,density,geometry,notes
1,1,100002,0700_0800,2.000,0.126,25.000,0.001,0,0,"",period-based
2,1,101990,0700_0800,0.000,0.109,25.000,0.000,0,0,"",period-based
3,1,101997,0700_0800,0.000,0.133,25.000,0.000,0,0,"",period-based
4,1,101998,0700_0800,61.000,0.105,25.000,0.034,0,0,"",period-based
5,2,100004,0700_0800,0.000,0.120,25.000,0.000,0,0,"",period-based
6,2,101992,0700_0800,163.000,0.103,25.000,0.091,0,0,"",period-based
7,2,101996,0700_0800,3.000,0.126,25.000,0.002,0,0,"",period-based
8,2,101997,0700_0800,6.000,0.094,25.000,0.003,0,0,"",period-based
9,3,101995,0700_0800,0.000,0.077,25.000,0.000,0,0,"",period-based
10,3,101996,0700_0800,170.000,0.051,25.000,0.094,0,0,"",period-based
11,4,100020,0700_0800,0.000,0.093,25.000,0.000,0,0,"",period-based
12,4,100021,0700_0800,13.000,0.044,25.000,0.007,0,0,"",period-based
13,5,100004,0700_0800,0.000,0.089,25.000,0.000,0,0,"",period-based
14,5,100007,0700_0800,0.000,0.130,25.000,0.000,0,0,"",period-based
15,5,100008,0700_0800,4.000,0.085,25.000,0.002,0,0,"",period-based
16,5,100017,0700_0800,14.000,0.118,25.000,0.008,0,0,"",period-based
17,6,100002,0700_0800,13.049,0.110,25.000,0.007,0,0,"",period-based
18,6,100008,0700_0800,0.000,0.142,25.000,0.000,0,0,"",period-based
19,6,100009,0700_0800,6.000,0.103,25.000,0.003,0,0,"",period-based
20,6,100014,0700_0800,6.000,0.105,25.000,0.003,0,0,"",period-based
21,7,100014,0700_0800,0.000,0.105,25.000,0.000,0,0,"",period-based
22,7,100022,0700_0800,0.000,0.151,25.000,0.000,0,0,"",period-based
23,7,100023,0700_0800,6.000,0.091,25.000,0.003,0,0,"",period-based
24,7,100030,0700_0800,0.000,0.133,25.000,0.000,0,0,"",period-based
25,8,100017,0700_0800,0.000,0.105,25.000,0.000,0,0,"",period-based
26,8,100021,0700_0800,5.000,0.129,25.000,0.003,0,0,"",period-based
27,8,100022,0700_0800,0.000,0.085,25.000,0.000,0,0,"",period-based
28,8,100032,0700_0800,0.000,0.135,25.000,0.000,0,0,"",period-based
29,9,100035,0700_0800,0.000,0.288,25.000,0.000,0,0,"",period-based
30,9,100100,0700_0800,0.000,0.149,25.000,0.000,0,0,"",period-based
31,10,100032,0700_0800,6.000,0.104,25.000,0.003,0,0,"",period-based
32,10,100035,0700_0800,2.000,0.140,25.000,0.001,0,0,"",period-based
33,10,100036,0700_0800,0.000,0.080,25.000,0.000,0,0,"",period-based
34,10,100046,0700_0800,3.500,0.116,25.000,0.002,0,0,"",period-based
35,11,100030,0700_0800,0.000,0.104,25.000,0.000,0,0,"",period-based
36,11,100036,0700_0800,2.000,0.115,25.000,0.001,0,0,"",period-based
37,11,100037,0700_0800,0.000,0.114,25.000,0.000,0,0,"",period-based
38,11,100044,0700_0800,1.000,0.120,25.000,0.001,0,0,"",period-based
39,12,100044,0700_0800,3.000,0.111,25.000,0.002,0,0,"",period-based
40,12,100050,0700_0800,0.000,0.147,25.000,0.000,0,0,"",period-based
41,12,100051,0700_0800,43.000,0.085,25.000,0.024,0,0,"",period-based
42,12,100055,0700_0800,1.000,0.122,25.000,0.001,0,0,"",period-based
43,13,100046,0700_0800,2.000,0.115,25.000,0.001,0,0,"",period-based
44,13,100049,0700_0800,0.000,0.133,25.000,0.000,0,0,"",period-based
45,13,100050,0700_0800,0.000,0.085,25.000,0.000,0,0,"",period-based
46,13,100057,0700_0800,29.000,0.118,25.000,0.016,0,0,"",period-based
47,14,101975,0700_0800,0.000,0.463,25.000,0.000,0,0,"",period-based
48,14,101983,0700_0800,0.000,0.138,25.000,0.000,0,0,"",period-based
49,14,101984,0700_0800,0.000,0.103,25.000,0.000,0,0,"",period-based
50,15,100143,0700_0800,0.000,0.125,25.000,0.000,0,0,"",period-based
